x_coordinate,y_coordinate,x0,y0,x1,y1
663.228492,5810.455266,0.0,0.0,6800.0,6800.0
5176.498073,1083.754630,0.0,0.0,6800.0,6800.0
1679.178218,6320.428659,0.0,0.0,6800.0,6800.0
939.295475,4264.005540,0.0,0.0,6800.0,6800.0
2253.836630,5845.285703,0.0,0.0,6800.0,6800.0
564.397042,913.624905,0.0,0.0,6800.0,6800.0
4569.444153,5565.515031,0.0,0.0,6800.0,6800.0
5484.837827,4128.629032,0.0,0.0,6800.0,6800.0
6682.645019,5646.088142,0.0,0.0,6800.0,6800.0
4322.492997,5648.889883,0.0,0.0,6800.0,6800.0
1468.278141,2644.071711,0.0,0.0,6800.0,6800.0
3733.386538,6258.260095,0.0,0.0,6800.0,6800.0
3709.807714,3132.504251,0.0,0.0,6800.0,6800.0
1591.717297,3318.859749,0.0,0.0,6800.0,6800.0
773.335732,3446.837003,0.0,0.0,6800.0,6800.0
3397.683016,44.504855,0.0,0.0,6800.0,6800.0
1034.337272,2181.201509,0.0,0.0,6800.0,6800.0
3622.265348,2880.999908,0.0,0.0,6800.0,6800.0
2631.646025,501.966830,0.0,0.0,6800.0,6800.0
4680.626207,1550.475506,0.0,0.0,6800.0,6800.0
2535.904664,1813.518409,0.0,0.0,6800.0,6800.0
6433.888306,6779.008558,0.0,0.0,6800.0,6800.0
5286.033843,823.726332,0.0,0.0,6800.0,6800.0
4134.633261,2337.367847,0.0,0.0,6800.0,6800.0
4183.577849,6730.498619,0.0,0.0,6800.0,6800.0
4372.315689,6543.322549,0.0,0.0,6800.0,6800.0
1825.687848,6129.762233,0.0,0.0,6800.0,6800.0
5101.061811,1330.074158,0.0,0.0,6800.0,6800.0
1950.447328,610.524887,0.0,0.0,6800.0,6800.0
4823.757193,658.749459,0.0,0.0,6800.0,6800.0
440.550073,4067.820552,0.0,0.0,6800.0,6800.0
4691.037659,5135.900406,0.0,0.0,6800.0,6800.0
3754.741268,4602.468134,0.0,0.0,6800.0,6800.0
3766.020066,1485.597589,0.0,0.0,6800.0,6800.0
2356.394683,1998.902104,0.0,0.0,6800.0,6800.0
