trial_id,run_id,seed,pd_level,t_start_iso,t_end_iso,t_climate_done_iso,t_layout_done_iso,t_bridge_done_iso,dt_climate_s,dt_layout_s,dt_bridge_s,dt_aep_total_s,dt_total_s,n_farms_total,n_new_farms,n_turbines_total,requested_mw,delivered_mw,delivered_pct,climate_scale,climate_extreme_modes,climate_mean_speed,climate_dominant_sector,climate_dominant_sector_freq,n_turbines_added
mc_20260807_0627_high_000013,mc_20260807_0627_high/task_0002,13,high,2026-08-07T06:30:24.935,2026-08-07T06:30:48.045,2026-08-07T06:30:24.938,2026-08-07T06:30:31.679,2026-08-07T06:30:31.680,0.0,6.74,0.0,16.37,23.11,28,15,1277,23616.0,7393.0,31.31,1.0,,8.758,7,0.1842,559
mc_20260807_0627_high_000014,mc_20260807_0627_high/task_0002,14,high,2026-08-07T06:30:48.046,2026-08-07T06:31:15.394,2026-08-07T06:30:48.049,2026-08-07T06:30:54.897,2026-08-07T06:30:54.898,0.0,6.85,0.0,20.5,27.35,25,12,1461,23616.0,7110.2,30.11,1.0,,9.209,7,0.1581,549
mc_20260807_0627_high_000015,mc_20260807_0627_high/task_0003,15,high,2026-08-07T06:28:33.202,2026-08-07T06:29:18.255,2026-08-07T06:28:33.209,2026-08-07T06:28:40.001,2026-08-07T06:28:40.010,0.01,6.79,0.01,38.25,45.05,27,14,1396,23616.0,6141.8,26.01,1.0,,8.775,8,0.1367,451
mc_20260807_0627_high_000016,mc_20260807_0627_high/task_0003,16,high,2026-08-07T06:29:18.261,2026-08-07T06:29:44.808,2026-08-07T06:29:18.265,2026-08-07T06:29:25.964,2026-08-07T06:29:25.965,0.0,7.7,0.0,18.84,26.55,22,9,1163,23616.0,4429.0,18.75,1.0,,9.134,7,0.1691,338
mc_20260807_0627_high_000017,mc_20260807_0627_high/task_0003,17,high,2026-08-07T06:29:44.809,2026-08-07T06:30:07.128,2026-08-07T06:29:44.812,2026-08-07T06:29:52.700,2026-08-07T06:29:52.700,0.0,7.89,0.0,14.43,22.32,19,6,1126,23616.0,3958.0,16.76,1.0,,9.274,8,0.1445,260
mc_20260807_0627_high_000018,mc_20260807_0627_high/task_0003,18,high,2026-08-07T06:30:07.129,2026-08-07T06:30:37.254,2026-08-07T06:30:07.132,2026-08-07T06:30:15.391,2026-08-07T06:30:15.392,0.0,8.26,0.0,21.86,30.12,21,8,1452,23616.0,4850.8,20.54,1.0,,9.015,7,0.1578,408
mc_20260807_0627_high_000019,mc_20260807_0627_high/task_0003,19,high,2026-08-07T06:30:37.255,2026-08-07T06:31:04.256,2026-08-07T06:30:37.257,2026-08-07T06:30:43.665,2026-08-07T06:30:43.666,0.0,6.41,0.0,20.59,27.0,25,12,1435,23616.0,7125.0,30.17,1.0,,9.321,7,0.1429,638
mc_20260807_0627_high_000020,mc_20260807_0627_high/task_0004,20,high,2026-08-07T06:28:34.191,2026-08-07T06:29:23.079,2026-08-07T06:28:34.197,2026-08-07T06:28:42.347,2026-08-07T06:28:42.356,0.01,8.15,0.01,40.72,48.89,33,20,1449,23616.0,6040.2,25.58,1.0,,9.093,7,0.134,467
mc_20260807_0627_high_000021,mc_20260807_0627_high/task_0004,21,high,2026-08-07T06:29:23.085,2026-08-07T06:30:06.172,2026-08-07T06:29:23.090,2026-08-07T06:29:31.220,2026-08-07T06:29:31.221,0.0,8.13,0.0,34.95,43.09,28,15,1592,23616.0,7875.5,33.35,1.0,,9.288,7,0.1529,664
mc_20260807_0627_high_000022,mc_20260807_0627_high/task_0004,22,high,2026-08-07T06:30:06.173,2026-08-07T06:30:37.650,2026-08-07T06:30:06.177,2026-08-07T06:30:13.808,2026-08-07T06:30:13.809,0.0,7.63,0.0,23.84,31.48,25,12,1456,23616.0,7533.0,31.9,1.0,,9.071,7,0.1644,580
