x_coordinate,y_coordinate,x0,y0,x1,y1
2878.082725,729.032866,0.0,0.0,5600.0,5600.0
4329.724292,2226.975445,0.0,0.0,5600.0,5600.0
4874.395040,3181.129890,0.0,0.0,5600.0,5600.0
45.062912,4647.045114,0.0,0.0,5600.0,5600.0
1734.521183,2399.229942,0.0,0.0,5600.0,5600.0
5362.580940,4349.152010,0.0,0.0,5600.0,5600.0
2873.453589,2224.998980,0.0,0.0,5600.0,5600.0
1782.392779,2628.561001,0.0,0.0,5600.0,5600.0
3019.519650,2533.525030,0.0,0.0,5600.0,5600.0
1239.027678,1311.927521,0.0,0.0,5600.0,5600.0
4516.295604,1785.563791,0.0,0.0,5600.0,5600.0
1916.625903,5443.474775,0.0,0.0,5600.0,5600.0
3017.777555,484.456308,0.0,0.0,5600.0,5600.0
32.893199,3539.684647,0.0,0.0,5600.0,5600.0
3769.653878,798.249253,0.0,0.0,5600.0,5600.0
1176.135868,2856.476778,0.0,0.0,5600.0,5600.0
5222.322520,1078.814388,0.0,0.0,5600.0,5600.0
2095.770597,140.879000,0.0,0.0,5600.0,5600.0
4213.545964,2868.663865,0.0,0.0,5600.0,5600.0
4273.578410,2488.695855,0.0,0.0,5600.0,5600.0
4874.796950,3762.148194,0.0,0.0,5600.0,5600.0
616.622598,1380.603114,0.0,0.0,5600.0,5600.0
1680.515090,5409.535084,0.0,0.0,5600.0,5600.0
2659.472289,2404.092131,0.0,0.0,5600.0,5600.0
3768.445627,3655.141407,0.0,0.0,5600.0,5600.0
1442.517624,3866.277239,0.0,0.0,5600.0,5600.0
3926.447390,5314.664227,0.0,0.0,5600.0,5600.0
3679.200332,3754.170026,0.0,0.0,5600.0,5600.0
1019.243443,1024.431580,0.0,0.0,5600.0,5600.0
1803.552760,3641.339265,0.0,0.0,5600.0,5600.0
4970.209759,4551.105159,0.0,0.0,5600.0,5600.0
466.755302,4707.501705,0.0,0.0,5600.0,5600.0
4180.759073,2602.002622,0.0,0.0,5600.0,5600.0
349.160274,3748.440955,0.0,0.0,5600.0,5600.0
4096.294309,5158.213154,0.0,0.0,5600.0,5600.0
4158.063588,2772.138031,0.0,0.0,5600.0,5600.0
2284.328555,2578.024986,0.0,0.0,5600.0,5600.0
5551.744794,5371.481278,0.0,0.0,5600.0,5600.0
2531.968873,5530.867325,0.0,0.0,5600.0,5600.0
1063.319842,5290.030975,0.0,0.0,5600.0,5600.0
1969.108244,5375.684773,0.0,0.0,5600.0,5600.0
4002.945332,1430.704240,0.0,0.0,5600.0,5600.0
2001.638034,3442.884859,0.0,0.0,5600.0,5600.0
289.063902,2760.477886,0.0,0.0,5600.0,5600.0
1769.146424,2686.624262,0.0,0.0,5600.0,5600.0
5593.305825,1875.924061,0.0,0.0,5600.0,5600.0
1612.267197,2576.404142,0.0,0.0,5600.0,5600.0
2586.056880,2803.520733,0.0,0.0,5600.0,5600.0
4117.501422,393.781548,0.0,0.0,5600.0,5600.0
5284.602124,1945.660804,0.0,0.0,5600.0,5600.0
982.254799,1601.475652,0.0,0.0,5600.0,5600.0
1189.559705,2060.266931,0.0,0.0,5600.0,5600.0
741.874633,4658.297706,0.0,0.0,5600.0,5600.0
1168.614677,2970.500336,0.0,0.0,5600.0,5600.0
5575.852489,1171.570230,0.0,0.0,5600.0,5600.0
1381.216659,1534.481349,0.0,0.0,5600.0,5600.0
616.297688,5179.256758,0.0,0.0,5600.0,5600.0
2812.993334,801.195825,0.0,0.0,5600.0,5600.0
2554.282165,2116.067431,0.0,0.0,5600.0,5600.0
4113.145282,2649.910710,0.0,0.0,5600.0,5600.0
3477.283831,3134.761947,0.0,0.0,5600.0,5600.0
3477.993269,5456.488575,0.0,0.0,5600.0,5600.0
840.966751,2365.029144,0.0,0.0,5600.0,5600.0
3014.337458,1861.790226,0.0,0.0,5600.0,5600.0
673.944564,4650.179456,0.0,0.0,5600.0,5600.0
856.942923,5390.311100,0.0,0.0,5600.0,5600.0
2520.999918,343.039729,0.0,0.0,5600.0,5600.0
2402.805144,5559.498813,0.0,0.0,5600.0,5600.0
4108.507653,4102.997874,0.0,0.0,5600.0,5600.0
412.000680,1031.204548,0.0,0.0,5600.0,5600.0
1561.200647,626.468162,0.0,0.0,5600.0,5600.0
925.645138,421.005755,0.0,0.0,5600.0,5600.0
2845.293575,3455.171607,0.0,0.0,5600.0,5600.0
3243.806454,1776.465394,0.0,0.0,5600.0,5600.0
3576.204398,2952.777160,0.0,0.0,5600.0,5600.0
1198.543944,1008.440033,0.0,0.0,5600.0,5600.0
2338.434831,5416.383278,0.0,0.0,5600.0,5600.0
2614.159411,3217.136998,0.0,0.0,5600.0,5600.0
465.187607,4688.051823,0.0,0.0,5600.0,5600.0
3193.528285,1868.670571,0.0,0.0,5600.0,5600.0
1279.698351,5081.033754,0.0,0.0,5600.0,5600.0
200.086431,2517.795191,0.0,0.0,5600.0,5600.0
5401.363958,2243.248875,0.0,0.0,5600.0,5600.0
418.095701,4436.439555,0.0,0.0,5600.0,5600.0
4090.689349,2266.781344,0.0,0.0,5600.0,5600.0
2814.727572,4948.888896,0.0,0.0,5600.0,5600.0
518.620675,2296.166257,0.0,0.0,5600.0,5600.0
2934.116384,537.952312,0.0,0.0,5600.0,5600.0
2431.620584,2704.103969,0.0,0.0,5600.0,5600.0
3068.891878,4315.926672,0.0,0.0,5600.0,5600.0
5236.039022,804.481225,0.0,0.0,5600.0,5600.0
5572.281697,1046.867876,0.0,0.0,5600.0,5600.0
3708.981213,3861.436572,0.0,0.0,5600.0,5600.0
1983.129524,5511.186052,0.0,0.0,5600.0,5600.0
2459.279279,909.020021,0.0,0.0,5600.0,5600.0
4342.888909,5583.852364,0.0,0.0,5600.0,5600.0
3520.667465,2506.382529,0.0,0.0,5600.0,5600.0
548.749158,4338.151959,0.0,0.0,5600.0,5600.0
3648.881936,3628.234061,0.0,0.0,5600.0,5600.0
5424.249647,5410.378843,0.0,0.0,5600.0,5600.0
1326.931016,4757.415998,0.0,0.0,5600.0,5600.0
2199.252983,2058.917355,0.0,0.0,5600.0,5600.0
462.925202,1666.698465,0.0,0.0,5600.0,5600.0
4611.884483,3111.411571,0.0,0.0,5600.0,5600.0
1621.179301,2439.176681,0.0,0.0,5600.0,5600.0
918.389261,1396.407106,0.0,0.0,5600.0,5600.0
